scenario_name,time_slot,solver_name,mean_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbps,goodput_mbps,packet_loss_rate,fairness_index,queue_delay_ms,edge_utilization,transport_utilization,wireless_utilization,solver_runtime_s,objective_value,quality_gap,constraint_violation_count,dominant_bottleneck,admission_rate,metadata,traffic.num_users,topology.backhaul_capacity_mbps,ml.forecast_error_std,sweep_label
wireless_dense,0,greedy,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.7740227688997613,0.2,0.00011995898967143148,82.62726469950186,6.202902153471855,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,greedy,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.8649689723417984,0.2,0.000110806999146007,89.46452347222282,4.028954869455017,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,milp_exact,17.026483248262707,18.67441034981703,18.69989940959291,104.84223333196971,104.84223333196971,0.0,0.7729071166073417,7.008101851851852,0.6875,0.691116021724112,0.2,0.012376259997836314,11.471385136014222,,0,transport,1.0,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,milp_exact,15.827377700644291,17.155025554355255,17.20508340295999,110.32785226582965,110.32785226582965,0.0,0.8205119027560693,7.008101851851852,0.6875,0.8049154237651501,0.2,0.011315674011711963,17.789883941018147,,0,transport,1.0,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,quantum_inspired,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.7740227688997613,0.2,0.49149261599814054,82.62726469950186,6.202902153471855,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,quantum_inspired,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.8649689723417984,0.2,0.440076857994427,89.46452347222282,4.028954869455017,0,transport,0.8333333333333334,{},6,100,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,greedy,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.7740227688997613,0.2,0.00010865699732676148,82.62726469950186,6.202902153471855,0,transport,0.8333333333333334,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,greedy,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.8649689723417984,0.2,0.00013441999908536673,89.46452347222282,4.028954869455017,0,transport,0.8333333333333334,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,0,milp_exact,17.026483248262707,18.67441034981703,18.69989940959291,104.84223333196971,104.84223333196971,0.0,0.7729071166073417,7.008101851851852,0.6875,0.691116021724112,0.2,0.012892879996798001,11.471385136014222,,0,transport,1.0,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,milp_exact,15.827377700644291,17.155025554355255,17.20508340295999,110.32785226582965,110.32785226582965,0.0,0.8205119027560693,7.008101851851852,0.6875,0.8049154237651501,0.2,0.014003790012793615,17.789883941018147,,0,transport,1.0,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,0,quantum_inspired,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.7740227688997613,0.2,0.488387359000626,82.62726469950186,6.202902153471855,0,transport,0.8333333333333334,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,quantum_inspired,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.8649689723417984,0.2,0.44887207700230647,89.46452347222282,4.028954869455017,0,transport,0.8333333333333334,{},6,100,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,0,greedy,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.42798906045045626,0.2,0.00011558900587260723,82.62726469950186,6.202902153471855,0,edge,0.8333333333333334,{},6,180,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,1,greedy,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.4782769611772297,0.2,0.00010996499622706324,89.46452347222282,4.028954869455017,0,edge,0.8333333333333334,{},6,180,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,0,milp_exact,17.026483248262707,18.67441034981703,18.69989940959291,104.84223333196971,104.84223333196971,0.0,0.7729071166073417,7.008101851851852,0.6875,0.3821465061298031,0.2,0.01126399300119374,11.471385136014222,,0,edge,1.0,{},6,180,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,1,milp_exact,15.827377700644291,17.155025554355255,17.20508340295999,110.32785226582965,110.32785226582965,0.0,0.8205119027560693,7.008101851851852,0.6875,0.4450708813760242,0.2,0.011876839998876676,17.789883941018147,,0,edge,1.0,{},6,180,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,0,quantum_inspired,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.42798906045045626,0.2,0.6096435190120246,82.62726469950186,6.202902153471855,0,edge,0.8333333333333334,{},6,180,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,1,quantum_inspired,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.4782769611772297,0.2,0.47904525899502914,89.46452347222282,4.028954869455017,0,edge,0.8333333333333334,{},6,180,0.0,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,0,greedy,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.42798906045045626,0.2,0.0001291980006499216,82.62726469950186,6.202902153471855,0,edge,0.8333333333333334,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,greedy,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.4782769611772297,0.2,0.00012081100430805236,89.46452347222282,4.028954869455017,0,edge,0.8333333333333334,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,0,milp_exact,17.026483248262707,18.67441034981703,18.69989940959291,104.84223333196971,104.84223333196971,0.0,0.7729071166073417,7.008101851851852,0.6875,0.3821465061298031,0.2,0.012253524997504428,11.471385136014222,,0,edge,1.0,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,milp_exact,15.827377700644291,17.155025554355255,17.20508340295999,110.32785226582965,110.32785226582965,0.0,0.8205119027560693,7.008101851851852,0.6875,0.4450708813760242,0.2,0.012150533992098644,17.789883941018147,,0,edge,1.0,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,0,quantum_inspired,18.229967899495914,21.795271933667493,22.08150640101532,112.63546756648076,112.63546756648076,0.0,0.779079762671354,8.409722222222223,0.6875,0.42798906045045626,0.2,0.5073908640042646,82.62726469950186,6.202902153471855,0,edge,0.8333333333333334,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,quantum_inspired,17.199163627907726,20.6495569174667,20.65794195060037,115.97288583203456,115.97288583203456,0.0,0.8040092779447954,8.409722222222223,0.6875,0.4782769611772297,0.2,0.464170423001633,89.46452347222282,4.028954869455017,0,edge,0.8333333333333334,{},6,180,0.2,traffic.num_users=6|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,0,greedy,40.71762415253579,53.40250521674299,53.80033666968292,220.4281285981126,199.6981559892913,0.0,0.8076445924466104,28.884371302176906,1.0,1.0,0.4,0.0002137380070053041,188.37447683188168,0.8230100525289251,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,greedy,28.70588531232909,45.561221398364914,46.43550196459885,165.7742331038155,159.77794066316406,0.0,0.8442897149239075,17.90208834247994,1.0,1.0,0.35,0.0002184269978897646,259.61171827604153,0.2022247095904298,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,milp_exact,33.916367702838635,46.86089060843946,47.60779209330532,189.45728619360622,182.93641743168087,0.0,0.8429411083580097,23.28878470365089,1.0,1.0,0.3,0.020852478002780117,103.331562308482,,0,transport,0.8888888888888888,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,milp_exact,25.340409269682247,32.59042339384666,33.864623170749226,122.4473048224659,122.4473048224659,0.0,0.8534123727610496,15.28537081540375,1.0,1.0,0.25,0.013696863999939524,244.3264393009218,,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,quantum_inspired,40.71762415253579,53.40250521674299,53.80033666968292,220.4281285981126,199.6981559892913,0.0,0.8076445924466104,28.884371302176906,1.0,1.0,0.4,0.535973820995423,188.37447683188168,0.8230100525289251,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,1,quantum_inspired,28.70588531232909,45.561221398364914,46.43550196459885,165.7742331038155,159.77794066316406,0.0,0.8442897149239075,17.90208834247994,1.0,1.0,0.35,0.4861914159992011,259.61171827604153,0.2022247095904298,0,transport,0.7777777777777778,{},9,100,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.0
wireless_dense,0,greedy,40.71762415253579,53.40250521674299,53.80033666968292,220.4281285981126,199.6981559892913,0.0,0.8076445924466104,28.884371302176906,1.0,1.0,0.4,0.00020921899704262614,188.37447683188168,0.8230100525289251,0,transport,0.7777777777777778,{},9,100,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,greedy,28.70588531232909,45.561221398364914,46.43550196459885,165.7742331038155,159.77794066316406,0.0,0.8442897149239075,17.90208834247994,1.0,1.0,0.35,0.00021966900385450572,259.61171827604153,0.2022247095904298,0,transport,0.7777777777777778,{},9,100,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,0,milp_exact,33.916367702838635,46.86089060843946,47.60779209330532,189.45728619360622,182.93641743168087,0.0,0.8429411083580097,23.28878470365089,1.0,1.0,0.3,0.021204631004366092,103.331562308482,,0,transport,0.8888888888888888,{},9,100,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,milp_exact,25.340409269682247,32.59042339384666,33.864623170749226,122.4473048224659,122.4473048224659,0.0,0.8534123727610496,15.28537081540375,1.0,1.0,0.25,0.013311164992046542,244.3264393009218,,0,transport,0.7777777777777778,{},9,100,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,0,quantum_inspired,40.71762415253579,53.40250521674299,53.80033666968292,220.4281285981126,199.6981559892913,0.0,0.8076445924466104,28.884371302176906,1.0,1.0,0.4,0.47572204600146506,188.37447683188168,0.8230100525289251,0,transport,0.7777777777777778,{},9,100,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,1,quantum_inspired,28.70588531232909,45.561221398364914,46.43550196459885,165.7742331038155,159.77794066316406,0.0,0.8442897149239075,17.90208834247994,1.0,1.0,0.35,0.5389558980095899,259.61171827604153,0.2022247095904298,0,transport,0.7777777777777778,{},9,100,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=100|ml.forecast_error_std=0.2
wireless_dense,0,greedy,22.78602752327982,29.204748191987974,29.50684107084073,220.4281285981126,220.4281285981126,0.0,0.8039347201048468,11.651361648447363,1.0,1.0,0.4,0.00017017300706356764,178.75572891816157,0.8158881124130667,0,transport,0.7777777777777778,{},9,180,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,1,greedy,24.378622964445388,32.49806047435866,32.6155324087444,168.16856529032134,165.63814517140503,0.0,0.824531028134648,14.151785714285714,1.0,0.751640309455729,0.35,0.00020073799532838166,224.33052951154338,0.048375298712950265,0,edge,0.7777777777777778,{},9,180,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,0,milp_exact,20.371226573182746,27.499893248692775,28.871900591476198,191.50005505647977,191.50005505647977,0.0,0.8380673534917714,9.965277777777779,1.0,0.8445333360550814,0.3,0.014037852000910789,98.4398365164799,,0,edge,0.8888888888888888,{},9,180,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,1,milp_exact,21.493825953284386,31.19418624693126,31.245784654115297,189.23937427642431,188.0408418763704,0.0,0.7869233924807308,12.200520833333332,1.0,0.8588988507523995,0.4,0.01367441299953498,129.91035108198355,,0,edge,0.8888888888888888,{},9,180,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,0,quantum_inspired,26.809193084013863,30.024125488664588,30.148038903626194,216.07658633028353,216.07658633028353,0.0,0.7916038562361686,14.951009761922291,1.0,1.0,0.4,0.548252157997922,190.16520361176424,0.9317911359993829,0,transport,0.7777777777777778,{},9,180,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,1,quantum_inspired,21.710996009647776,26.292195931795963,26.98278638561272,205.7802508935932,205.7802508935932,0.0,0.8557490640587483,10.824652777777779,1.0,0.7709205163602104,0.45,0.719446761009749,134.0272992591017,1.220451084069559,0,edge,0.8888888888888888,{},9,180,0.0,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.0
wireless_dense,0,greedy,22.78602752327982,29.204748191987974,29.50684107084073,220.4281285981126,220.4281285981126,0.0,0.8039347201048468,11.651361648447363,1.0,1.0,0.4,0.00019743001030292362,178.75572891816157,0.8158881124130667,0,transport,0.7777777777777778,{},9,180,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,greedy,24.378622964445388,32.49806047435866,32.6155324087444,168.16856529032134,165.63814517140503,0.0,0.824531028134648,14.151785714285714,1.0,0.751640309455729,0.35,0.00023309099196922034,224.33052951154338,0.048375298712950265,0,edge,0.7777777777777778,{},9,180,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,0,milp_exact,20.371226573182746,27.499893248692775,28.871900591476198,191.50005505647977,191.50005505647977,0.0,0.8380673534917714,9.965277777777779,1.0,0.8445333360550814,0.3,0.01761252801225055,98.4398365164799,,0,edge,0.8888888888888888,{},9,180,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,milp_exact,21.493825953284386,31.19418624693126,31.245784654115297,189.23937427642431,188.0408418763704,0.0,0.7869233924807308,12.200520833333332,1.0,0.8588988507523995,0.4,0.018563210003776476,129.91035108198355,,0,edge,0.8888888888888888,{},9,180,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,0,quantum_inspired,26.809193084013863,30.024125488664588,30.148038903626194,216.07658633028353,216.07658633028353,0.0,0.7916038562361686,14.951009761922291,1.0,1.0,0.4,0.6078622749919305,190.16520361176424,0.9317911359993829,0,transport,0.7777777777777778,{},9,180,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
wireless_dense,1,quantum_inspired,21.710996009647776,26.292195931795963,26.98278638561272,205.7802508935932,205.7802508935932,0.0,0.8557490640587483,10.824652777777779,1.0,0.7709205163602104,0.45,0.6746661119977944,134.0272992591017,1.220451084069559,0,edge,0.8888888888888888,{},9,180,0.2,traffic.num_users=9|topology.backhaul_capacity_mbps=180|ml.forecast_error_std=0.2
